,name,exact_match,iou,average_latency (s),average_cost ($)
0,openai_gpt_4o_mini_chat_predictor,0.12526539278131635,0.2680353386717284,0.4878605373852319,3.890509554140128e-05
1,openai_gpt_4o_chat_predictor,0.15074309978768577,0.29329892431201227,0.45950257347900647,0.0012636730360934174
2,openai_gpt_3_5_instruct_predictor,0.01910828025477707,0.0951268108760276,0.5058117646826806,0.0003715806794055202
